type,category,question,answer,clean_text,spu_id,spu_name,sub_category,brand,specs,description,rule_id,rule_category,rule_title,rule_content,session_id,turn_id,role,message,intent_label
faq,物流配送,能修改收货地址吗,您的订单已由京东物流承运，运单号 SF334038993。当前快件已从北京分拨中心发出，预计3个工作日送达。可在「物流详情」中实时查看。,能修改收货地址吗 您的订单已由京东物流承运，运单号 SF334038993。当前快件已从北京分拨中心发出，预计3个工作日送达。可在「物流详情」中实时查看。,,,,,,,,,,,,,,,
faq,订单查询,如何申请电子发票,您可以在「我的订单」中找到对应订单，点击「查看详情」即可获取订单编号、物流状态和预计送达时间。如有疑问可随时联系在线客服。,如何申请电子发票 您可以在「我的订单」中找到对应订单，点击「查看详情」即可获取订单编号、物流状态和预计送达时间。如有疑问可随时联系在线客服。,,,,,,,,,,,,,,,
faq,商品咨询,可以定制吗,感谢您的关注！建议您查看商品详情页的规格参数、用户评价和使用说明。您可在商品详情页查看完整规格参数和用户评价。,可以定制吗 感谢您的关注！建议您查看商品详情页的规格参数、用户评价和使用说明。您可在商品详情页查看完整规格参数和用户评价。,,,,,,,,,,,,,,,
faq,支付问题,可以分期付款吗,关于支付问题，建议您先检查银行卡/支付宝/微信余额是否充足，并确认是否为本人操作。如仍无法解决，建议尝试切换支付方式或联系发卡行确认卡片状态。,可以分期付款吗 关于支付问题，建议您先检查银行卡/支付宝/微信余额是否充足，并确认是否为本人操作。如仍无法解决，建议尝试切换支付方式或联系发卡行确认卡片状态。,,,,,,,,,,,,,,,
faq,物流配送,预计多久送达,您的订单已由中通快递承运，运单号 SF245490696。当前快件已从上海分拨中心发出，预计1个工作日送达。可在「物流详情」中实时查看。,预计多久送达 您的订单已由中通快递承运，运单号 SF245490696。当前快件已从上海分拨中心发出，预计1个工作日送达。可在「物流详情」中实时查看。,,,,,,,,,,,,,,,
faq,物流配送,境外可以配送吗,您的订单已由韵达快递承运，运单号 SF874928327。当前快件已从上海分拨中心发出，预计4个工作日送达。可在「物流详情」中实时查看。,境外可以配送吗 您的订单已由韵达快递承运，运单号 SF874928327。当前快件已从上海分拨中心发出，预计4个工作日送达。可在「物流详情」中实时查看。,,,,,,,,,,,,,,,
faq,支付问题,货到付款支持吗,关于支付问题，建议您先检查银行卡/支付宝/微信余额是否充足，并确认是否为本人操作。如仍无法解决，建议尝试切换支付方式或联系发卡行确认卡片状态。,货到付款支持吗 关于支付问题，建议您先检查银行卡/支付宝/微信余额是否充足，并确认是否为本人操作。如仍无法解决，建议尝试切换支付方式或联系发卡行确认卡片状态。,,,,,,,,,,,,,,,
faq,账户安全,账户被盗怎么办,账户安全是我们的首要任务。建议您开启两步验证，定期修改密码，勿将验证码告知他人。您可在「账户设置-安全中心」中完成相关操作。,账户被盗怎么办 账户安全是我们的首要任务。建议您开启两步验证，定期修改密码，勿将验证码告知他人。您可在「账户设置-安全中心」中完成相关操作。,,,,,,,,,,,,,,,
faq,退换货,超过7天还能退货吗,您好，我们支持7天无理由退换货，商品需完好未使用且保留原包装。请在「我的订单」中选择对应订单提交退换货申请，客服将在24小时内审核处理。,超过7天还能退货吗 您好，我们支持7天无理由退换货，商品需完好未使用且保留原包装。请在「我的订单」中选择对应订单提交退换货申请，客服将在24小时内审核处理。,,,,,,,,,,,,,,,
faq,退换货,退货流程是什么,您好，我们支持7天无理由退换货，商品需完好未使用且保留原包装。请在「我的订单」中选择对应订单提交退换货申请，客服将在24小时内审核处理。,退货流程是什么 您好，我们支持7天无理由退换货，商品需完好未使用且保留原包装。请在「我的订单」中选择对应订单提交退换货申请，客服将在24小时内审核处理。,,,,,,,,,,,,,,,
faq,商品咨询,支持哪些颜色,感谢您的关注！建议您查看商品详情页的规格参数、用户评价和使用说明。您可在商品详情页查看完整规格参数和用户评价。,支持哪些颜色 感谢您的关注！建议您查看商品详情页的规格参数、用户评价和使用说明。您可在商品详情页查看完整规格参数和用户评价。,,,,,,,,,,,,,,,
faq,支付问题,支付失败怎么办,关于支付问题，建议您先检查银行卡/支付宝/微信余额是否充足，并确认是否为本人操作。如仍无法解决，建议尝试切换支付方式或联系发卡行确认卡片状态。,支付失败怎么办 关于支付问题，建议您先检查银行卡/支付宝/微信余额是否充足，并确认是否为本人操作。如仍无法解决，建议尝试切换支付方式或联系发卡行确认卡片状态。,,,,,,,,,,,,,,,
faq,商品咨询,这款商品有优惠吗,感谢您的关注！建议您查看商品详情页的规格参数、用户评价和使用说明。您可在商品详情页查看完整规格参数和用户评价。,这款商品有优惠吗 感谢您的关注！建议您查看商品详情页的规格参数、用户评价和使用说明。您可在商品详情页查看完整规格参数和用户评价。,,,,,,,,,,,,,,,
faq,物流配送,到货后如何验货,您的订单已由圆通速递承运，运单号 SF850155528。当前快件已从广州分拨中心发出，预计5个工作日送达。可在「物流详情」中实时查看。,到货后如何验货 您的订单已由圆通速递承运，运单号 SF850155528。当前快件已从广州分拨中心发出，预计5个工作日送达。可在「物流详情」中实时查看。,,,,,,,,,,,,,,,
faq,活动优惠,满减规则是什么,关于活动优惠，建议关注首页活动入口或开启促销提醒，优惠券可在「我的-优惠券」中查看。建议关注首页活动入口或开启促销提醒，不错过优惠信息。,满减规则是什么 关于活动优惠，建议关注首页活动入口或开启促销提醒，优惠券可在「我的-优惠券」中查看。建议关注首页活动入口或开启促销提醒，不错过优惠信息。,,,,,,,,,,,,,,,
faq,支付问题,如何绑定银行卡,关于支付问题，建议您先检查银行卡/支付宝/微信余额是否充足，并确认是否为本人操作。如仍无法解决，建议尝试切换支付方式或联系发卡行确认卡片状态。,如何绑定银行卡 关于支付问题，建议您先检查银行卡/支付宝/微信余额是否充足，并确认是否为本人操作。如仍无法解决，建议尝试切换支付方式或联系发卡行确认卡片状态。,,,,,,,,,,,,,,,
faq,会员权益,生日礼包在哪里领取,感谢您对会员体系的关注！会员等级分为银卡/金卡/钻石卡，享有积分加速、专属折扣和生日礼包。您可在「会员中心」查看完整权益说明和当前等级进度。,生日礼包在哪里领取 感谢您对会员体系的关注！会员等级分为银卡/金卡/钻石卡，享有积分加速、专属折扣和生日礼包。您可在「会员中心」查看完整权益说明和当前等级进度。,,,,,,,,,,,,,,,
faq,订单查询,如何修改订单地址,您可以在「我的订单」中找到对应订单，点击「查看详情」即可获取订单编号、物流状态和预计送达时间。如有疑问可随时联系在线客服。,如何修改订单地址 您可以在「我的订单」中找到对应订单，点击「查看详情」即可获取订单编号、物流状态和预计送达时间。如有疑问可随时联系在线客服。,,,,,,,,,,,,,,,
faq,订单查询,怎么查看历史订单,您可以在「我的订单」中找到对应订单，点击「查看详情」即可获取订单编号、物流状态和预计送达时间。如有疑问可随时联系在线客服。,怎么查看历史订单 您可以在「我的订单」中找到对应订单，点击「查看详情」即可获取订单编号、物流状态和预计送达时间。如有疑问可随时联系在线客服。,,,,,,,,,,,,,,,
faq,活动优惠,秒杀商品能抢到吗,关于活动优惠，建议关注首页活动入口或开启促销提醒，优惠券可在「我的-优惠券」中查看。建议关注首页活动入口或开启促销提醒，不错过优惠信息。,秒杀商品能抢到吗 关于活动优惠，建议关注首页活动入口或开启促销提醒，优惠券可在「我的-优惠券」中查看。建议关注首页活动入口或开启促销提醒，不错过优惠信息。,,,,,,,,,,,,,,,
faq,退换货,退货后优惠券会退回吗,您好，我们支持7天无理由退换货，商品需完好未使用且保留原包装。请在「我的订单」中选择对应订单提交退换货申请，客服将在24小时内审核处理。,退货后优惠券会退回吗 您好，我们支持7天无理由退换货，商品需完好未使用且保留原包装。请在「我的订单」中选择对应订单提交退换货申请，客服将在24小时内审核处理。,,,,,,,,,,,,,,,
faq,会员权益,会员等级会降级吗,感谢您对会员体系的关注！会员等级分为银卡/金卡/钻石卡，享有积分加速、专属折扣和生日礼包。您可在「会员中心」查看完整权益说明和当前等级进度。,会员等级会降级吗 感谢您对会员体系的关注！会员等级分为银卡/金卡/钻石卡，享有积分加速、专属折扣和生日礼包。您可在「会员中心」查看完整权益说明和当前等级进度。,,,,,,,,,,,,,,,
faq,支付问题,支付时提示限额怎么办,关于支付问题，建议您先检查银行卡/支付宝/微信余额是否充足，并确认是否为本人操作。如仍无法解决，建议尝试切换支付方式或联系发卡行确认卡片状态。,支付时提示限额怎么办 关于支付问题，建议您先检查银行卡/支付宝/微信余额是否充足，并确认是否为本人操作。如仍无法解决，建议尝试切换支付方式或联系发卡行确认卡片状态。,,,,,,,,,,,,,,,
faq,活动优惠,优惠券可以叠加吗,关于活动优惠，建议关注首页活动入口或开启促销提醒，优惠券可在「我的-优惠券」中查看。建议关注首页活动入口或开启促销提醒，不错过优惠信息。,优惠券可以叠加吗 关于活动优惠，建议关注首页活动入口或开启促销提醒，优惠券可在「我的-优惠券」中查看。建议关注首页活动入口或开启促销提醒，不错过优惠信息。,,,,,,,,,,,,,,,
faq,商品咨询,尺码怎么选,感谢您的关注！建议您查看商品详情页的规格参数、用户评价和使用说明。您可在商品详情页查看完整规格参数和用户评价。,尺码怎么选 感谢您的关注！建议您查看商品详情页的规格参数、用户评价和使用说明。您可在商品详情页查看完整规格参数和用户评价。,,,,,,,,,,,,,,,
faq,活动优惠,优惠券怎么领取,关于活动优惠，建议关注首页活动入口或开启促销提醒，优惠券可在「我的-优惠券」中查看。建议关注首页活动入口或开启促销提醒，不错过优惠信息。,优惠券怎么领取 关于活动优惠，建议关注首页活动入口或开启促销提醒，优惠券可在「我的-优惠券」中查看。建议关注首页活动入口或开启促销提醒，不错过优惠信息。,,,,,,,,,,,,,,,
faq,订单查询,订单取消后多久退款,您可以在「我的订单」中找到对应订单，点击「查看详情」即可获取订单编号、物流状态和预计送达时间。如有疑问可随时联系在线客服。,订单取消后多久退款 您可以在「我的订单」中找到对应订单，点击「查看详情」即可获取订单编号、物流状态和预计送达时间。如有疑问可随时联系在线客服。,,,,,,,,,,,,,,,
faq,账户安全,实名认证需要什么,账户安全是我们的首要任务。建议您开启两步验证，定期修改密码，勿将验证码告知他人。您可在「账户设置-安全中心」中完成相关操作。,实名认证需要什么 账户安全是我们的首要任务。建议您开启两步验证，定期修改密码，勿将验证码告知他人。您可在「账户设置-安全中心」中完成相关操作。,,,,,,,,,,,,,,,
faq,退换货,换货流程怎么操作,您好，我们支持7天无理由退换货，商品需完好未使用且保留原包装。请在「我的订单」中选择对应订单提交退换货申请，客服将在24小时内审核处理。,换货流程怎么操作 您好，我们支持7天无理由退换货，商品需完好未使用且保留原包装。请在「我的订单」中选择对应订单提交退换货申请，客服将在24小时内审核处理。,,,,,,,,,,,,,,,
faq,会员权益,积分会过期吗,感谢您对会员体系的关注！会员等级分为银卡/金卡/钻石卡，享有积分加速、专属折扣和生日礼包。您可在「会员中心」查看完整权益说明和当前等级进度。,积分会过期吗 感谢您对会员体系的关注！会员等级分为银卡/金卡/钻石卡，享有积分加速、专属折扣和生日礼包。您可在「会员中心」查看完整权益说明和当前等级进度。,,,,,,,,,,,,,,,
faq,会员权益,会员等级怎么升级,感谢您对会员体系的关注！会员等级分为银卡/金卡/钻石卡，享有积分加速、专属折扣和生日礼包。您可在「会员中心」查看完整权益说明和当前等级进度。,会员等级怎么升级 感谢您对会员体系的关注！会员等级分为银卡/金卡/钻石卡，享有积分加速、专属折扣和生日礼包。您可在「会员中心」查看完整权益说明和当前等级进度。,,,,,,,,,,,,,,,
faq,物流配送,快递没送到显示已签收,您的订单已由京东物流承运，运单号 SF809071719。当前快件已从上海分拨中心发出，预计5个工作日送达。可在「物流详情」中实时查看。,快递没送到显示已签收 您的订单已由京东物流承运，运单号 SF809071719。当前快件已从上海分拨中心发出，预计5个工作日送达。可在「物流详情」中实时查看。,,,,,,,,,,,,,,,
faq,活动优惠,活动什么时候开始,关于活动优惠，建议关注首页活动入口或开启促销提醒，优惠券可在「我的-优惠券」中查看。建议关注首页活动入口或开启促销提醒，不错过优惠信息。,活动什么时候开始 关于活动优惠，建议关注首页活动入口或开启促销提醒，优惠券可在「我的-优惠券」中查看。建议关注首页活动入口或开启促销提醒，不错过优惠信息。,,,,,,,,,,,,,,,
faq,订单查询,如何查询订单物流状态,您可以在「我的订单」中找到对应订单，点击「查看详情」即可获取订单编号、物流状态和预计送达时间。如有疑问可随时联系在线客服。,如何查询订单物流状态 您可以在「我的订单」中找到对应订单，点击「查看详情」即可获取订单编号、物流状态和预计送达时间。如有疑问可随时联系在线客服。,,,,,,,,,,,,,,,
faq,账户安全,异地登录提醒怎么设置,账户安全是我们的首要任务。建议您开启两步验证，定期修改密码，勿将验证码告知他人。您可在「账户设置-安全中心」中完成相关操作。,异地登录提醒怎么设置 账户安全是我们的首要任务。建议您开启两步验证，定期修改密码，勿将验证码告知他人。您可在「账户设置-安全中心」中完成相关操作。,,,,,,,,,,,,,,,
product,手机通讯,,,【欧莱雅旗舰店】欧莱雅 智能手机 001型，规格: 升级版 | 颜色: 樱花粉 | 重量: 7.9kg。支持5G全网通。现在下单享30天价保。,SPU000001,欧莱雅 智能手机 001型,智能手机,欧莱雅,规格: 升级版 | 颜色: 樱花粉 | 重量: 7.9kg,【欧莱雅旗舰店】欧莱雅 智能手机 001型，规格: 升级版 | 颜色: 樱花粉 | 重量: 7.9kg。支持5G全网通。现在下单享30天价保。,,,,,,,,,
product,手机通讯,,,【良品铺子旗舰店】良品铺子 智能手机 002型，颜色: 雾霾蓝。支持5G全网通。现在下单享限时包邮。,SPU000002,良品铺子 智能手机 002型,智能手机,良品铺子,颜色: 雾霾蓝,【良品铺子旗舰店】良品铺子 智能手机 002型，颜色: 雾霾蓝。支持5G全网通。现在下单享限时包邮。,,,,,,,,,
product,手机通讯,,,苹果官方正品苹果 智能手机 003型，颜色: 樱花粉 | 重量: 24.8kg。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。,SPU000003,苹果 智能手机 003型,智能手机,苹果,颜色: 樱花粉 | 重量: 24.8kg,苹果官方正品苹果 智能手机 003型，颜色: 樱花粉 | 重量: 24.8kg。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。,,,,,,,,,
product,手机通讯,,,科沃斯官方正品科沃斯 智能手机 004型，规格: 升级版 | 颜色: 星空灰。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。,SPU000004,科沃斯 智能手机 004型,智能手机,科沃斯,规格: 升级版 | 颜色: 星空灰,科沃斯官方正品科沃斯 智能手机 004型，规格: 升级版 | 颜色: 星空灰。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。,,,,,,,,,
product,手机通讯,,,三星官方正品三星 智能手机 005型，重量: 21.1kg | 颜色: 樱花粉。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,SPU000005,三星 智能手机 005型,智能手机,三星,重量: 21.1kg | 颜色: 樱花粉,三星官方正品三星 智能手机 005型，重量: 21.1kg | 颜色: 樱花粉。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,,,,,,,,,
product,手机通讯,,,海尔海尔 智能手机 006型，重量: 6.8kg | 颜色: 星空灰 | 规格: 升级版。手机通讯品类热销产品，累计好评23万+。超长续航5000mAh,SPU000006,海尔 智能手机 006型,智能手机,海尔,重量: 6.8kg | 颜色: 星空灰 | 规格: 升级版,海尔海尔 智能手机 006型，重量: 6.8kg | 颜色: 星空灰 | 规格: 升级版。手机通讯品类热销产品，累计好评23万+。超长续航5000mAh,,,,,,,,,
product,手机通讯,,,阿迪达斯阿迪达斯 智能手机 007型，重量: 8.6kg。手机通讯品类热销产品，累计好评21万+。高清AI四摄,SPU000007,阿迪达斯 智能手机 007型,智能手机,阿迪达斯,重量: 8.6kg,阿迪达斯阿迪达斯 智能手机 007型，重量: 8.6kg。手机通讯品类热销产品，累计好评21万+。高清AI四摄,,,,,,,,,
product,手机通讯,,,格力官方正品格力 智能手机 008型，规格: Pro版 | 重量: 17.6kg。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。,SPU000008,格力 智能手机 008型,智能手机,格力,规格: Pro版 | 重量: 17.6kg,格力官方正品格力 智能手机 008型，规格: Pro版 | 重量: 17.6kg。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。,,,,,,,,,
product,手机通讯,,,欧莱雅欧莱雅 智能手机 009型，规格: 旗舰版 | 颜色: 星空灰 | 重量: 3.3kg。手机通讯品类热销产品，累计好评22万+。超长续航5000mAh,SPU000009,欧莱雅 智能手机 009型,智能手机,欧莱雅,规格: 旗舰版 | 颜色: 星空灰 | 重量: 3.3kg,欧莱雅欧莱雅 智能手机 009型，规格: 旗舰版 | 颜色: 星空灰 | 重量: 3.3kg。手机通讯品类热销产品，累计好评22万+。超长续航5000mAh,,,,,,,,,
product,手机通讯,,,【三只松鼠旗舰店】三只松鼠 智能手机 010型，重量: 7.1kg | 规格: 旗舰版 | 颜色: 珍珠白。支持5G全网通。现在下单享30天价保。,SPU000010,三只松鼠 智能手机 010型,智能手机,三只松鼠,重量: 7.1kg | 规格: 旗舰版 | 颜色: 珍珠白,【三只松鼠旗舰店】三只松鼠 智能手机 010型，重量: 7.1kg | 规格: 旗舰版 | 颜色: 珍珠白。支持5G全网通。现在下单享30天价保。,,,,,,,,,
product,手机通讯,,,三只松鼠三只松鼠 智能手机 011型，重量: 19.9kg | 颜色: 雾霾蓝 | 规格: 升级版。手机通讯品类热销产品，累计好评44万+。120Hz高刷屏,SPU000011,三只松鼠 智能手机 011型,智能手机,三只松鼠,重量: 19.9kg | 颜色: 雾霾蓝 | 规格: 升级版,三只松鼠三只松鼠 智能手机 011型，重量: 19.9kg | 颜色: 雾霾蓝 | 规格: 升级版。手机通讯品类热销产品，累计好评44万+。120Hz高刷屏,,,,,,,,,
product,手机通讯,,,【美的旗舰店】美的 智能手机 012型，规格: 标准版。高清AI四摄。现在下单享30天价保。,SPU000012,美的 智能手机 012型,智能手机,美的,规格: 标准版,【美的旗舰店】美的 智能手机 012型，规格: 标准版。高清AI四摄。现在下单享30天价保。,,,,,,,,,
product,手机通讯,,,蒙牛蒙牛 智能手机 013型，规格: 升级版 | 颜色: 星空灰 | 重量: 4.3kg。手机通讯品类热销产品，累计好评4万+。高清AI四摄,SPU000013,蒙牛 智能手机 013型,智能手机,蒙牛,规格: 升级版 | 颜色: 星空灰 | 重量: 4.3kg,蒙牛蒙牛 智能手机 013型，规格: 升级版 | 颜色: 星空灰 | 重量: 4.3kg。手机通讯品类热销产品，累计好评4万+。高清AI四摄,,,,,,,,,
product,手机通讯,,,耐克官方正品耐克 智能手机 014型，规格: 旗舰版 | 重量: 2.2kg。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,SPU000014,耐克 智能手机 014型,智能手机,耐克,规格: 旗舰版 | 重量: 2.2kg,耐克官方正品耐克 智能手机 014型，规格: 旗舰版 | 重量: 2.2kg。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,,,,,,,,,
product,手机通讯,,,【格力旗舰店】格力 智能手机 015型，颜色: 珍珠白 | 规格: 标准版。120Hz高刷屏。现在下单享赠品随单送。,SPU000015,格力 智能手机 015型,智能手机,格力,颜色: 珍珠白 | 规格: 标准版,【格力旗舰店】格力 智能手机 015型，颜色: 珍珠白 | 规格: 标准版。120Hz高刷屏。现在下单享赠品随单送。,,,,,,,,,
product,手机通讯,,,三星三星 智能手机 016型，颜色: 经典黑。手机通讯品类热销产品，累计好评34万+。高清AI四摄,SPU000016,三星 智能手机 016型,智能手机,三星,颜色: 经典黑,三星三星 智能手机 016型，颜色: 经典黑。手机通讯品类热销产品，累计好评34万+。高清AI四摄,,,,,,,,,
product,手机通讯,,,耐克耐克 智能手机 017型，规格: 升级版 | 重量: 10.0kg。手机通讯品类热销产品，累计好评11万+。超长续航5000mAh,SPU000017,耐克 智能手机 017型,智能手机,耐克,规格: 升级版 | 重量: 10.0kg,耐克耐克 智能手机 017型，规格: 升级版 | 重量: 10.0kg。手机通讯品类热销产品，累计好评11万+。超长续航5000mAh,,,,,,,,,
product,手机通讯,,,安踏官方正品安踏 智能手机 018型，重量: 21.2kg。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。,SPU000018,安踏 智能手机 018型,智能手机,安踏,重量: 21.2kg,安踏官方正品安踏 智能手机 018型，重量: 21.2kg。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。,,,,,,,,,
product,手机通讯,,,【三星旗舰店】三星 智能手机 019型，颜色: 经典黑。120Hz高刷屏。现在下单享赠品随单送。,SPU000019,三星 智能手机 019型,智能手机,三星,颜色: 经典黑,【三星旗舰店】三星 智能手机 019型，颜色: 经典黑。120Hz高刷屏。现在下单享赠品随单送。,,,,,,,,,
product,手机通讯,,,李宁李宁 智能手机 020型，重量: 6.9kg | 颜色: 樱花粉。手机通讯品类热销产品，累计好评45万+。高清AI四摄,SPU000020,李宁 智能手机 020型,智能手机,李宁,重量: 6.9kg | 颜色: 樱花粉,李宁李宁 智能手机 020型，重量: 6.9kg | 颜色: 樱花粉。手机通讯品类热销产品，累计好评45万+。高清AI四摄,,,,,,,,,
product,手机通讯,,,小米小米 智能手机 021型，规格: 升级版 | 重量: 13.2kg。手机通讯品类热销产品，累计好评9万+。支持5G全网通,SPU000021,小米 智能手机 021型,智能手机,小米,规格: 升级版 | 重量: 13.2kg,小米小米 智能手机 021型，规格: 升级版 | 重量: 13.2kg。手机通讯品类热销产品，累计好评9万+。支持5G全网通,,,,,,,,,
product,手机通讯,,,【小米旗舰店】小米 智能手机 022型，规格: 升级版 | 颜色: 樱花粉。高清AI四摄。现在下单享限时包邮。,SPU000022,小米 智能手机 022型,智能手机,小米,规格: 升级版 | 颜色: 樱花粉,【小米旗舰店】小米 智能手机 022型，规格: 升级版 | 颜色: 樱花粉。高清AI四摄。现在下单享限时包邮。,,,,,,,,,
product,手机通讯,,,兰蔻官方正品兰蔻 智能手机 023型，颜色: 星空灰 | 重量: 23.9kg | 规格: Lite版。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,SPU000023,兰蔻 智能手机 023型,智能手机,兰蔻,颜色: 星空灰 | 重量: 23.9kg | 规格: Lite版,兰蔻官方正品兰蔻 智能手机 023型，颜色: 星空灰 | 重量: 23.9kg | 规格: Lite版。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,,,,,,,,,
product,手机通讯,,,苹果苹果 智能手机 024型，重量: 3.9kg | 颜色: 珍珠白。手机通讯品类热销产品，累计好评50万+。120Hz高刷屏,SPU000024,苹果 智能手机 024型,智能手机,苹果,重量: 3.9kg | 颜色: 珍珠白,苹果苹果 智能手机 024型，重量: 3.9kg | 颜色: 珍珠白。手机通讯品类热销产品，累计好评50万+。120Hz高刷屏,,,,,,,,,
product,手机通讯,,,【三只松鼠旗舰店】三只松鼠 智能手机 025型，重量: 7.9kg | 颜色: 珍珠白。120Hz高刷屏。现在下单享买二免一。,SPU000025,三只松鼠 智能手机 025型,智能手机,三只松鼠,重量: 7.9kg | 颜色: 珍珠白,【三只松鼠旗舰店】三只松鼠 智能手机 025型，重量: 7.9kg | 颜色: 珍珠白。120Hz高刷屏。现在下单享买二免一。,,,,,,,,,
