type,spu_id,spu_name,category,sub_category,brand,specs,description,clean_text
product,SPU000011,三只松鼠 智能手机 011型,手机通讯,智能手机,三只松鼠,重量: 19.9kg | 颜色: 雾霾蓝 | 规格: 升级版,三只松鼠三只松鼠 智能手机 011型，重量: 19.9kg | 颜色: 雾霾蓝 | 规格: 升级版。手机通讯品类热销产品，累计好评44万+。120Hz高刷屏,三只松鼠三只松鼠 智能手机 011型，重量: 19.9kg | 颜色: 雾霾蓝 | 规格: 升级版。手机通讯品类热销产品，累计好评44万+。120Hz高刷屏
product,SPU000012,美的 智能手机 012型,手机通讯,智能手机,美的,规格: 标准版,【美的旗舰店】美的 智能手机 012型，规格: 标准版。高清AI四摄。现在下单享30天价保。,【美的旗舰店】美的 智能手机 012型，规格: 标准版。高清AI四摄。现在下单享30天价保。
product,SPU000013,蒙牛 智能手机 013型,手机通讯,智能手机,蒙牛,规格: 升级版 | 颜色: 星空灰 | 重量: 4.3kg,蒙牛蒙牛 智能手机 013型，规格: 升级版 | 颜色: 星空灰 | 重量: 4.3kg。手机通讯品类热销产品，累计好评4万+。高清AI四摄,蒙牛蒙牛 智能手机 013型，规格: 升级版 | 颜色: 星空灰 | 重量: 4.3kg。手机通讯品类热销产品，累计好评4万+。高清AI四摄
product,SPU000014,耐克 智能手机 014型,手机通讯,智能手机,耐克,规格: 旗舰版 | 重量: 2.2kg,耐克官方正品耐克 智能手机 014型，规格: 旗舰版 | 重量: 2.2kg。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,耐克官方正品耐克 智能手机 014型，规格: 旗舰版 | 重量: 2.2kg。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。
product,SPU000015,格力 智能手机 015型,手机通讯,智能手机,格力,颜色: 珍珠白 | 规格: 标准版,【格力旗舰店】格力 智能手机 015型，颜色: 珍珠白 | 规格: 标准版。120Hz高刷屏。现在下单享赠品随单送。,【格力旗舰店】格力 智能手机 015型，颜色: 珍珠白 | 规格: 标准版。120Hz高刷屏。现在下单享赠品随单送。
product,SPU000016,三星 智能手机 016型,手机通讯,智能手机,三星,颜色: 经典黑,三星三星 智能手机 016型，颜色: 经典黑。手机通讯品类热销产品，累计好评34万+。高清AI四摄,三星三星 智能手机 016型，颜色: 经典黑。手机通讯品类热销产品，累计好评34万+。高清AI四摄
product,SPU000017,耐克 智能手机 017型,手机通讯,智能手机,耐克,规格: 升级版 | 重量: 10.0kg,耐克耐克 智能手机 017型，规格: 升级版 | 重量: 10.0kg。手机通讯品类热销产品，累计好评11万+。超长续航5000mAh,耐克耐克 智能手机 017型，规格: 升级版 | 重量: 10.0kg。手机通讯品类热销产品，累计好评11万+。超长续航5000mAh
product,SPU000018,安踏 智能手机 018型,手机通讯,智能手机,安踏,重量: 21.2kg,安踏官方正品安踏 智能手机 018型，重量: 21.2kg。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。,安踏官方正品安踏 智能手机 018型，重量: 21.2kg。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。
product,SPU000019,三星 智能手机 019型,手机通讯,智能手机,三星,颜色: 经典黑,【三星旗舰店】三星 智能手机 019型，颜色: 经典黑。120Hz高刷屏。现在下单享赠品随单送。,【三星旗舰店】三星 智能手机 019型，颜色: 经典黑。120Hz高刷屏。现在下单享赠品随单送。
product,SPU000020,李宁 智能手机 020型,手机通讯,智能手机,李宁,重量: 6.9kg | 颜色: 樱花粉,李宁李宁 智能手机 020型，重量: 6.9kg | 颜色: 樱花粉。手机通讯品类热销产品，累计好评45万+。高清AI四摄,李宁李宁 智能手机 020型，重量: 6.9kg | 颜色: 樱花粉。手机通讯品类热销产品，累计好评45万+。高清AI四摄
product,SPU000021,小米 智能手机 021型,手机通讯,智能手机,小米,规格: 升级版 | 重量: 13.2kg,小米小米 智能手机 021型，规格: 升级版 | 重量: 13.2kg。手机通讯品类热销产品，累计好评9万+。支持5G全网通,小米小米 智能手机 021型，规格: 升级版 | 重量: 13.2kg。手机通讯品类热销产品，累计好评9万+。支持5G全网通
product,SPU000022,小米 智能手机 022型,手机通讯,智能手机,小米,规格: 升级版 | 颜色: 樱花粉,【小米旗舰店】小米 智能手机 022型，规格: 升级版 | 颜色: 樱花粉。高清AI四摄。现在下单享限时包邮。,【小米旗舰店】小米 智能手机 022型，规格: 升级版 | 颜色: 樱花粉。高清AI四摄。现在下单享限时包邮。
product,SPU000023,兰蔻 智能手机 023型,手机通讯,智能手机,兰蔻,颜色: 星空灰 | 重量: 23.9kg | 规格: Lite版,兰蔻官方正品兰蔻 智能手机 023型，颜色: 星空灰 | 重量: 23.9kg | 规格: Lite版。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,兰蔻官方正品兰蔻 智能手机 023型，颜色: 星空灰 | 重量: 23.9kg | 规格: Lite版。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。
product,SPU000024,苹果 智能手机 024型,手机通讯,智能手机,苹果,重量: 3.9kg | 颜色: 珍珠白,苹果苹果 智能手机 024型，重量: 3.9kg | 颜色: 珍珠白。手机通讯品类热销产品，累计好评50万+。120Hz高刷屏,苹果苹果 智能手机 024型，重量: 3.9kg | 颜色: 珍珠白。手机通讯品类热销产品，累计好评50万+。120Hz高刷屏
product,SPU000025,三只松鼠 智能手机 025型,手机通讯,智能手机,三只松鼠,重量: 7.9kg | 颜色: 珍珠白,【三只松鼠旗舰店】三只松鼠 智能手机 025型，重量: 7.9kg | 颜色: 珍珠白。120Hz高刷屏。现在下单享买二免一。,【三只松鼠旗舰店】三只松鼠 智能手机 025型，重量: 7.9kg | 颜色: 珍珠白。120Hz高刷屏。现在下单享买二免一。
product,SPU000026,华为 智能手机 026型,手机通讯,智能手机,华为,重量: 0.4kg | 颜色: 樱花粉 | 规格: 旗舰版,华为华为 智能手机 026型，重量: 0.4kg | 颜色: 樱花粉 | 规格: 旗舰版。手机通讯品类热销产品，累计好评47万+。120Hz高刷屏,华为华为 智能手机 026型，重量: 0.4kg | 颜色: 樱花粉 | 规格: 旗舰版。手机通讯品类热销产品，累计好评47万+。120Hz高刷屏
product,SPU000027,阿迪达斯 智能手机 027型,手机通讯,智能手机,阿迪达斯,规格: 标准版 | 重量: 20.3kg | 颜色: 珍珠白,阿迪达斯官方正品阿迪达斯 智能手机 027型，规格: 标准版 | 重量: 20.3kg | 颜色: 珍珠白。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。,阿迪达斯官方正品阿迪达斯 智能手机 027型，规格: 标准版 | 重量: 20.3kg | 颜色: 珍珠白。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。
product,SPU000028,美的 智能手机 028型,手机通讯,智能手机,美的,颜色: 珍珠白,【美的旗舰店】美的 智能手机 028型，颜色: 珍珠白。超长续航5000mAh。现在下单享限时包邮。,【美的旗舰店】美的 智能手机 028型，颜色: 珍珠白。超长续航5000mAh。现在下单享限时包邮。
product,SPU000029,阿迪达斯 智能手机 029型,手机通讯,智能手机,阿迪达斯,规格: 标准版 | 颜色: 星空灰,【阿迪达斯旗舰店】阿迪达斯 智能手机 029型，规格: 标准版 | 颜色: 星空灰。120Hz高刷屏。现在下单享赠品随单送。,【阿迪达斯旗舰店】阿迪达斯 智能手机 029型，规格: 标准版 | 颜色: 星空灰。120Hz高刷屏。现在下单享赠品随单送。
product,SPU000030,蒙牛 智能手机 030型,手机通讯,智能手机,蒙牛,规格: Lite版 | 颜色: 星空灰 | 重量: 1.1kg,【蒙牛旗舰店】蒙牛 智能手机 030型，规格: Lite版 | 颜色: 星空灰 | 重量: 1.1kg。120Hz高刷屏。现在下单享赠品随单送。,【蒙牛旗舰店】蒙牛 智能手机 030型，规格: Lite版 | 颜色: 星空灰 | 重量: 1.1kg。120Hz高刷屏。现在下单享赠品随单送。
product,SPU000031,资生堂 智能手机 031型,手机通讯,智能手机,资生堂,重量: 7.4kg | 颜色: 星空灰,【资生堂旗舰店】资生堂 智能手机 031型，重量: 7.4kg | 颜色: 星空灰。高清AI四摄。现在下单享买二免一。,【资生堂旗舰店】资生堂 智能手机 031型，重量: 7.4kg | 颜色: 星空灰。高清AI四摄。现在下单享买二免一。
product,SPU000032,欧莱雅 智能手机 032型,手机通讯,智能手机,欧莱雅,重量: 8.5kg | 规格: Lite版 | 颜色: 珍珠白,【欧莱雅旗舰店】欧莱雅 智能手机 032型，重量: 8.5kg | 规格: Lite版 | 颜色: 珍珠白。超长续航5000mAh。现在下单享买二免一。,【欧莱雅旗舰店】欧莱雅 智能手机 032型，重量: 8.5kg | 规格: Lite版 | 颜色: 珍珠白。超长续航5000mAh。现在下单享买二免一。
product,SPU000033,三星 智能手机 033型,手机通讯,智能手机,三星,规格: Lite版 | 颜色: 珍珠白,三星官方正品三星 智能手机 033型，规格: Lite版 | 颜色: 珍珠白。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。,三星官方正品三星 智能手机 033型，规格: Lite版 | 颜色: 珍珠白。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。
product,SPU000034,资生堂 智能手机 034型,手机通讯,智能手机,资生堂,规格: Pro版 | 重量: 0.6kg | 颜色: 雾霾蓝,资生堂资生堂 智能手机 034型，规格: Pro版 | 重量: 0.6kg | 颜色: 雾霾蓝。手机通讯品类热销产品，累计好评40万+。高清AI四摄,资生堂资生堂 智能手机 034型，规格: Pro版 | 重量: 0.6kg | 颜色: 雾霾蓝。手机通讯品类热销产品，累计好评40万+。高清AI四摄
product,SPU000035,百草味 智能手机 035型,手机通讯,智能手机,百草味,规格: 升级版 | 重量: 19.8kg | 颜色: 经典黑,百草味官方正品百草味 智能手机 035型，规格: 升级版 | 重量: 19.8kg | 颜色: 经典黑。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,百草味官方正品百草味 智能手机 035型，规格: 升级版 | 重量: 19.8kg | 颜色: 经典黑。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。
product,SPU000036,资生堂 智能手机 036型,手机通讯,智能手机,资生堂,规格: 旗舰版 | 颜色: 星空灰,【资生堂旗舰店】资生堂 智能手机 036型，规格: 旗舰版 | 颜色: 星空灰。超长续航5000mAh。现在下单享30天价保。,【资生堂旗舰店】资生堂 智能手机 036型，规格: 旗舰版 | 颜色: 星空灰。超长续航5000mAh。现在下单享30天价保。
product,SPU000037,华为 智能手机 037型,手机通讯,智能手机,华为,颜色: 樱花粉 | 规格: 标准版 | 重量: 0.4kg,华为华为 智能手机 037型，颜色: 樱花粉 | 规格: 标准版 | 重量: 0.4kg。手机通讯品类热销产品，累计好评18万+。支持5G全网通,华为华为 智能手机 037型，颜色: 樱花粉 | 规格: 标准版 | 重量: 0.4kg。手机通讯品类热销产品，累计好评18万+。支持5G全网通
product,SPU000038,安踏 智能手机 038型,手机通讯,智能手机,安踏,颜色: 星空灰,安踏安踏 智能手机 038型，颜色: 星空灰。手机通讯品类热销产品，累计好评23万+。超长续航5000mAh,安踏安踏 智能手机 038型，颜色: 星空灰。手机通讯品类热销产品，累计好评23万+。超长续航5000mAh
product,SPU000039,蒙牛 智能手机 039型,手机通讯,智能手机,蒙牛,重量: 13.7kg | 颜色: 樱花粉,【蒙牛旗舰店】蒙牛 智能手机 039型，重量: 13.7kg | 颜色: 樱花粉。120Hz高刷屏。现在下单享买二免一。,【蒙牛旗舰店】蒙牛 智能手机 039型，重量: 13.7kg | 颜色: 樱花粉。120Hz高刷屏。现在下单享买二免一。
product,SPU000040,三星 智能手机 040型,手机通讯,智能手机,三星,重量: 23.6kg | 规格: Lite版 | 颜色: 雾霾蓝,三星三星 智能手机 040型，重量: 23.6kg | 规格: Lite版 | 颜色: 雾霾蓝。手机通讯品类热销产品，累计好评29万+。支持5G全网通,三星三星 智能手机 040型，重量: 23.6kg | 规格: Lite版 | 颜色: 雾霾蓝。手机通讯品类热销产品，累计好评29万+。支持5G全网通
product,SPU000041,欧莱雅 智能手机 041型,手机通讯,智能手机,欧莱雅,颜色: 樱花粉 | 规格: 升级版,欧莱雅欧莱雅 智能手机 041型，颜色: 樱花粉 | 规格: 升级版。手机通讯品类热销产品，累计好评10万+。超长续航5000mAh,欧莱雅欧莱雅 智能手机 041型，颜色: 樱花粉 | 规格: 升级版。手机通讯品类热销产品，累计好评10万+。超长续航5000mAh
product,SPU000042,科沃斯 智能手机 042型,手机通讯,智能手机,科沃斯,规格: Lite版 | 重量: 11.5kg | 颜色: 星空灰,【科沃斯旗舰店】科沃斯 智能手机 042型，规格: Lite版 | 重量: 11.5kg | 颜色: 星空灰。高清AI四摄。现在下单享买二免一。,【科沃斯旗舰店】科沃斯 智能手机 042型，规格: Lite版 | 重量: 11.5kg | 颜色: 星空灰。高清AI四摄。现在下单享买二免一。
product,SPU000043,阿迪达斯 智能手机 043型,手机通讯,智能手机,阿迪达斯,规格: 旗舰版 | 颜色: 雾霾蓝 | 重量: 18.4kg,阿迪达斯官方正品阿迪达斯 智能手机 043型，规格: 旗舰版 | 颜色: 雾霾蓝 | 重量: 18.4kg。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,阿迪达斯官方正品阿迪达斯 智能手机 043型，规格: 旗舰版 | 颜色: 雾霾蓝 | 重量: 18.4kg。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。
product,SPU000044,三只松鼠 智能手机 044型,手机通讯,智能手机,三只松鼠,规格: 标准版,三只松鼠官方正品三只松鼠 智能手机 044型，规格: 标准版。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。,三只松鼠官方正品三只松鼠 智能手机 044型，规格: 标准版。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。
product,SPU000045,耐克 智能手机 045型,手机通讯,智能手机,耐克,重量: 10.6kg | 颜色: 星空灰 | 规格: 升级版,耐克耐克 智能手机 045型，重量: 10.6kg | 颜色: 星空灰 | 规格: 升级版。手机通讯品类热销产品，累计好评46万+。120Hz高刷屏,耐克耐克 智能手机 045型，重量: 10.6kg | 颜色: 星空灰 | 规格: 升级版。手机通讯品类热销产品，累计好评46万+。120Hz高刷屏
product,SPU000046,美的 智能手机 046型,手机通讯,智能手机,美的,重量: 3.4kg | 规格: 标准版,美的美的 智能手机 046型，重量: 3.4kg | 规格: 标准版。手机通讯品类热销产品，累计好评49万+。支持5G全网通,美的美的 智能手机 046型，重量: 3.4kg | 规格: 标准版。手机通讯品类热销产品，累计好评49万+。支持5G全网通
product,SPU000047,伊利 智能手机 047型,手机通讯,智能手机,伊利,规格: Lite版 | 颜色: 樱花粉 | 重量: 6.3kg,伊利伊利 智能手机 047型，规格: Lite版 | 颜色: 樱花粉 | 重量: 6.3kg。手机通讯品类热销产品，累计好评19万+。120Hz高刷屏,伊利伊利 智能手机 047型，规格: Lite版 | 颜色: 樱花粉 | 重量: 6.3kg。手机通讯品类热销产品，累计好评19万+。120Hz高刷屏
product,SPU000048,格力 智能手机 048型,手机通讯,智能手机,格力,规格: Lite版 | 重量: 8.8kg,格力官方正品格力 智能手机 048型，规格: Lite版 | 重量: 8.8kg。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,格力官方正品格力 智能手机 048型，规格: Lite版 | 重量: 8.8kg。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。
product,SPU000049,伊利 智能手机 049型,手机通讯,智能手机,伊利,规格: Lite版,伊利伊利 智能手机 049型，规格: Lite版。手机通讯品类热销产品，累计好评25万+。高清AI四摄,伊利伊利 智能手机 049型，规格: Lite版。手机通讯品类热销产品，累计好评25万+。高清AI四摄
product,SPU000050,格力 智能手机 050型,手机通讯,智能手机,格力,颜色: 樱花粉,格力格力 智能手机 050型，颜色: 樱花粉。手机通讯品类热销产品，累计好评28万+。120Hz高刷屏,格力格力 智能手机 050型，颜色: 樱花粉。手机通讯品类热销产品，累计好评28万+。120Hz高刷屏
product,SPU000051,三星 智能手机 051型,手机通讯,智能手机,三星,重量: 14.8kg | 规格: Lite版 | 颜色: 经典黑,三星官方正品三星 智能手机 051型，重量: 14.8kg | 规格: Lite版 | 颜色: 经典黑。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。,三星官方正品三星 智能手机 051型，重量: 14.8kg | 规格: Lite版 | 颜色: 经典黑。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。
product,SPU000052,三星 智能手机 052型,手机通讯,智能手机,三星,规格: 升级版 | 颜色: 樱花粉 | 重量: 11.3kg,三星三星 智能手机 052型，规格: 升级版 | 颜色: 樱花粉 | 重量: 11.3kg。手机通讯品类热销产品，累计好评31万+。超长续航5000mAh,三星三星 智能手机 052型，规格: 升级版 | 颜色: 樱花粉 | 重量: 11.3kg。手机通讯品类热销产品，累计好评31万+。超长续航5000mAh
product,SPU000053,华为 智能手机 053型,手机通讯,智能手机,华为,规格: Lite版 | 重量: 18.3kg,【华为旗舰店】华为 智能手机 053型，规格: Lite版 | 重量: 18.3kg。高清AI四摄。现在下单享限时包邮。,【华为旗舰店】华为 智能手机 053型，规格: Lite版 | 重量: 18.3kg。高清AI四摄。现在下单享限时包邮。
product,SPU000054,资生堂 智能手机 054型,手机通讯,智能手机,资生堂,规格: 升级版 | 重量: 8.0kg,【资生堂旗舰店】资生堂 智能手机 054型，规格: 升级版 | 重量: 8.0kg。高清AI四摄。现在下单享买二免一。,【资生堂旗舰店】资生堂 智能手机 054型，规格: 升级版 | 重量: 8.0kg。高清AI四摄。现在下单享买二免一。
product,SPU000055,三只松鼠 智能手机 055型,手机通讯,智能手机,三只松鼠,颜色: 经典黑,【三只松鼠旗舰店】三只松鼠 智能手机 055型，颜色: 经典黑。高清AI四摄。现在下单享赠品随单送。,【三只松鼠旗舰店】三只松鼠 智能手机 055型，颜色: 经典黑。高清AI四摄。现在下单享赠品随单送。
product,SPU000056,格力 智能手机 056型,手机通讯,智能手机,格力,规格: Pro版 | 重量: 8.6kg,格力格力 智能手机 056型，规格: Pro版 | 重量: 8.6kg。手机通讯品类热销产品，累计好评37万+。高清AI四摄,格力格力 智能手机 056型，规格: Pro版 | 重量: 8.6kg。手机通讯品类热销产品，累计好评37万+。高清AI四摄
product,SPU000057,阿迪达斯 智能手机 057型,手机通讯,智能手机,阿迪达斯,规格: 旗舰版 | 重量: 4.2kg | 颜色: 樱花粉,阿迪达斯阿迪达斯 智能手机 057型，规格: 旗舰版 | 重量: 4.2kg | 颜色: 樱花粉。手机通讯品类热销产品，累计好评24万+。支持5G全网通,阿迪达斯阿迪达斯 智能手机 057型，规格: 旗舰版 | 重量: 4.2kg | 颜色: 樱花粉。手机通讯品类热销产品，累计好评24万+。支持5G全网通
product,SPU000058,三星 智能手机 058型,手机通讯,智能手机,三星,颜色: 樱花粉 | 重量: 11.9kg | 规格: 升级版,三星官方正品三星 智能手机 058型，颜色: 樱花粉 | 重量: 11.9kg | 规格: 升级版。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。,三星官方正品三星 智能手机 058型，颜色: 樱花粉 | 重量: 11.9kg | 规格: 升级版。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。
product,SPU000059,三星 智能手机 059型,手机通讯,智能手机,三星,颜色: 珍珠白,三星官方正品三星 智能手机 059型，颜色: 珍珠白。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。,三星官方正品三星 智能手机 059型，颜色: 珍珠白。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。
product,SPU000060,三星 智能手机 060型,手机通讯,智能手机,三星,重量: 2.3kg,三星三星 智能手机 060型，重量: 2.3kg。手机通讯品类热销产品，累计好评16万+。支持5G全网通,三星三星 智能手机 060型，重量: 2.3kg。手机通讯品类热销产品，累计好评16万+。支持5G全网通
product,SPU000061,华为 智能手机 061型,手机通讯,智能手机,华为,颜色: 星空灰 | 重量: 14.2kg,华为官方正品华为 智能手机 061型，颜色: 星空灰 | 重量: 14.2kg。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,华为官方正品华为 智能手机 061型，颜色: 星空灰 | 重量: 14.2kg。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。
product,SPU000062,李宁 智能手机 062型,手机通讯,智能手机,李宁,颜色: 樱花粉 | 重量: 19.8kg,李宁李宁 智能手机 062型，颜色: 樱花粉 | 重量: 19.8kg。手机通讯品类热销产品，累计好评34万+。高清AI四摄,李宁李宁 智能手机 062型，颜色: 樱花粉 | 重量: 19.8kg。手机通讯品类热销产品，累计好评34万+。高清AI四摄
product,SPU000063,伊利 智能手机 063型,手机通讯,智能手机,伊利,颜色: 樱花粉 | 重量: 22.6kg | 规格: 旗舰版,伊利官方正品伊利 智能手机 063型，颜色: 樱花粉 | 重量: 22.6kg | 规格: 旗舰版。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。,伊利官方正品伊利 智能手机 063型，颜色: 樱花粉 | 重量: 22.6kg | 规格: 旗舰版。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。
product,SPU000064,百草味 智能手机 064型,手机通讯,智能手机,百草味,重量: 16.5kg,【百草味旗舰店】百草味 智能手机 064型，重量: 16.5kg。超长续航5000mAh。现在下单享30天价保。,【百草味旗舰店】百草味 智能手机 064型，重量: 16.5kg。超长续航5000mAh。现在下单享30天价保。
product,SPU000065,华为 智能手机 065型,手机通讯,智能手机,华为,颜色: 雾霾蓝 | 规格: Pro版,【华为旗舰店】华为 智能手机 065型，颜色: 雾霾蓝 | 规格: Pro版。高清AI四摄。现在下单享30天价保。,【华为旗舰店】华为 智能手机 065型，颜色: 雾霾蓝 | 规格: Pro版。高清AI四摄。现在下单享30天价保。
product,SPU000066,美的 智能手机 066型,手机通讯,智能手机,美的,重量: 6.2kg | 规格: 升级版,【美的旗舰店】美的 智能手机 066型，重量: 6.2kg | 规格: 升级版。高清AI四摄。现在下单享限时包邮。,【美的旗舰店】美的 智能手机 066型，重量: 6.2kg | 规格: 升级版。高清AI四摄。现在下单享限时包邮。
product,SPU000067,伊利 智能手机 067型,手机通讯,智能手机,伊利,规格: 标准版 | 颜色: 星空灰,伊利伊利 智能手机 067型，规格: 标准版 | 颜色: 星空灰。手机通讯品类热销产品，累计好评32万+。支持5G全网通,伊利伊利 智能手机 067型，规格: 标准版 | 颜色: 星空灰。手机通讯品类热销产品，累计好评32万+。支持5G全网通
product,SPU000068,李宁 智能手机 068型,手机通讯,智能手机,李宁,颜色: 雾霾蓝 | 规格: 升级版 | 重量: 10.2kg,【李宁旗舰店】李宁 智能手机 068型，颜色: 雾霾蓝 | 规格: 升级版 | 重量: 10.2kg。支持5G全网通。现在下单享赠品随单送。,【李宁旗舰店】李宁 智能手机 068型，颜色: 雾霾蓝 | 规格: 升级版 | 重量: 10.2kg。支持5G全网通。现在下单享赠品随单送。
product,SPU000069,安踏 智能手机 069型,手机通讯,智能手机,安踏,颜色: 樱花粉,安踏安踏 智能手机 069型，颜色: 樱花粉。手机通讯品类热销产品，累计好评28万+。超长续航5000mAh,安踏安踏 智能手机 069型，颜色: 樱花粉。手机通讯品类热销产品，累计好评28万+。超长续航5000mAh
product,SPU000070,李宁 智能手机 070型,手机通讯,智能手机,李宁,颜色: 樱花粉 | 重量: 14.1kg | 规格: 标准版,李宁官方正品李宁 智能手机 070型，颜色: 樱花粉 | 重量: 14.1kg | 规格: 标准版。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。,李宁官方正品李宁 智能手机 070型，颜色: 樱花粉 | 重量: 14.1kg | 规格: 标准版。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。
